,id_estacao,data_medicao,acumulado_chuva_15_min,acumulado_chuva_1_h,acumulado_chuva_4_h,acumulado_chuva_24_h,acumulado_chuva_96_h,acumulado_chuva_30_d,data_particao,primary_key
177,1,2024-03-15 08:30:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 08:30:00
178,1,2024-03-15 09:45:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 09:45:00
179,1,2024-03-15 10:00:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 10:00:00
180,1,2024-03-15 01:15:00,,0.0,0.0,0.0,0.2,25.0,2024-03-15,1_2024-03-15 01:15:00
181,1,2024-03-15 01:30:00,,0.0,0.0,0.0,0.2,25.0,2024-03-15,1_2024-03-15 01:30:00
182,1,2024-03-15 02:45:00,,0.0,0.0,0.0,0.2,25.0,2024-03-15,1_2024-03-15 02:45:00
183,1,2024-03-15 04:00:00,,0.0,0.0,0.0,0.2,25.0,2024-03-15,1_2024-03-15 04:00:00
184,1,2024-03-15 00:45:00,,0.0,0.0,0.0,0.2,25.0,2024-03-15,1_2024-03-15 00:45:00
185,1,2024-03-15 00:00:00,,0.0,0.0,0.0,0.2,25.0,2024-03-15,1_2024-03-15 00:00:00
186,1,2024-03-15 03:00:00,,0.0,0.0,0.0,0.2,25.0,2024-03-15,1_2024-03-15 03:00:00
187,1,2024-03-15 03:30:00,,0.0,0.0,0.0,0.2,25.0,2024-03-15,1_2024-03-15 03:30:00
188,1,2024-03-15 03:45:00,,0.0,0.0,0.0,0.2,25.0,2024-03-15,1_2024-03-15 03:45:00
189,1,2024-03-15 14:00:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 14:00:00
190,1,2024-03-15 14:15:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 14:15:00
191,1,2024-03-15 17:00:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 17:00:00
192,1,2024-03-15 15:45:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 15:45:00
193,1,2024-03-15 17:30:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 17:30:00
194,1,2024-03-15 16:30:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 16:30:00
195,1,2024-03-15 15:15:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 15:15:00
196,1,2024-03-15 14:45:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 14:45:00
197,1,2024-03-15 15:00:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 15:00:00
198,1,2024-03-15 17:45:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 17:45:00
199,1,2024-03-15 22:45:00,0.0,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 22:45:00
200,1,2024-03-15 22:30:00,0.0,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 22:30:00
201,1,2024-03-15 21:45:00,0.0,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 21:45:00
202,1,2024-03-15 21:00:00,0.0,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 21:00:00
203,1,2024-03-15 20:45:00,0.0,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 20:45:00
204,1,2024-03-15 20:30:00,0.0,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 20:30:00
205,1,2024-03-15 20:15:00,0.0,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 20:15:00
206,1,2024-03-15 19:45:00,0.0,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 19:45:00
207,1,2024-03-15 18:45:00,0.0,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 18:45:00
208,1,2024-03-15 13:15:00,0.0,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 13:15:00
209,1,2024-03-15 11:45:00,0.0,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 11:45:00
210,1,2024-03-15 12:15:00,0.0,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 12:15:00
211,1,2024-03-15 05:00:00,0.0,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 05:00:00
212,1,2024-03-15 07:15:00,0.0,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 07:15:00
213,1,2024-03-15 09:15:00,0.0,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 09:15:00
214,1,2024-03-15 12:30:00,0.0,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 12:30:00
